gene_symbol|functions|functions_reference|processes|processes_reference|components|components_reference
ZDHHC14|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Integral to membrane (GO:0016021)|-
ZDHHC15|Palmitoyltransferase activity (GO:0016409)|-|Biological_process unknown (GO:0000004)|-|Endoplasmic reticulum (GO:0005783)|-
ZDHHC16|Molecular function unknown (GO:0005554)|-|Apoptosis (GO:0006915)|12021275|Endoplasmic reticulum (GO:0005783)|12021275
SCGB2A2|Molecular function unknown (GO:0005554)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Extracellular (GO:0005576)|9488047
SCGB2A1|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Extracellular (GO:0005576)|12826312
ZDHHC18|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Integral to membrane (GO:0016021)|-
ZDHHC19|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Integral to membrane (GO:0016021)|-
ZDHHC17|Molecular function unknown (GO:0005554)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Golgi apparatus (GO:0005794);Cytoplasm (GO:0005737)|12393793
PRMT1|Methyltransferase activity (GO:0008168)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Nucleus (GO:0005634);Cytoplasm (GO:0005737)|11448779;11152681;10749851;8663146
PRMT2|Methyltransferase activity (GO:0008168)|11513728;12039952|Metabolism (GO:0008152);Energy pathways (GO:0006091)|11513728;12039952|Nucleus (GO:0005634)|11513728
PRMT3|Methyltransferase activity (GO:0008168)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Cytoplasm (GO:0005737);Nucleus (GO:0005634);Ribosome (GO:0005840)|9642256;15175657
PRMT5|Methyltransferase activity (GO:0008168)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|11152681
PRMT6|Methyltransferase activity (GO:0008168)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Nucleus (GO:0005634)|11724789
PRMT7|Methyltransferase activity (GO:0008168)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|-|-
PRMT8|Methyltransferase activity (GO:0008168)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|-|-
CDKAL1|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Integral to membrane (GO:0016021)|-
ZDHHC20|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
ZDHHC21|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Integral to membrane (GO:0016021)|-
ZDHHC22|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
ZDHHC23|Molecular function unknown (GO:0005554)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|15105416
ZDHHC24|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Integral to membrane (GO:0016021)|-
THSD1|Extracellular matrix structural constituent (GO:0005201)|15371459|Cell-matrix adhesion (GO:0007160)|15371459|Plasma membrane (GO:0005886);Extracellular (GO:0005576)|15371459
THSD3|Cell adhesion molecule activity (GO:0005194)|15194193|Cell adhesion (GO:0007155)|15194193|-|-
THSD4|Molecular function unknown (GO:0005554)|-|Cell communication (GO:0007154)|-|-|-
GPR109A|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|12522134
GPR109B|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|-
CTDP1|Transcription factor binding (GO:0008134)|9765293;12370301;12591939|Transcription (GO:0006350)|12370301;12591939|Nucleus (GO:0005634)|9765293
CPXM1|Molecular function unknown (GO:0005554)|-|Protein metabolism (GO:0019538)|-|-|-
CPXM2|Carboxypeptidase activity (GO:0004180)|-|Protein metabolism (GO:0019538)|-|-|-
SUDS3|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|11909966
NOTCH2NL|Calcium ion binding (GO:0005509)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Extracellular (GO:0005576)|14673143
YES1|Protein-tyrosine kinase activity (GO:0004713)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737);Plasma membrane (GO:0005886)|2067846
B3GALTL|Transferase activity (GO:0016740)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Integral to membrane (GO:0016021)|12943678
H2AFJ|DNA binding (GO:0003677)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|-
DNASE2B|Deoxyribonuclease activity (GO:0004536)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|-
TDO2|Catalytic activity (GO:0003824)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Cytoplasm (GO:0005737)|11469796
CX3CR1|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|9390561
H2AFV|DNA binding (GO:0003677)|-|Regulation of gene expression, epigenetic (GO:0040029)|-|Nucleus (GO:0005634)|-
HLCS|Ligase activity (GO:0016874)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Cytoplasm (GO:0005737)|9630604
H2AFX|DNA binding (GO:0003677)|-|DNA repair (GO:0006281)|-|Nucleus (GO:0005634)|10959836
B3GALT5|Galactosyltransferase activity (GO:0008378)|10212226|Protein modification (GO:0006464)|10212226|Integral to membrane (GO:0016021)|10212226
H2AFZ|DNA binding (GO:0003677)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|-
B3GALT4|Galactosyltransferase activity (GO:0008378)|-|Protein metabolism (GO:0019538)|-|Golgi apparatus (GO:0005794)|-
B3GALT2|Galactosyltransferase activity (GO:0008378)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Golgi apparatus (GO:0005794)|9417100
B3GALT1|Galactosyltransferase activity (GO:0008378)|-|Protein metabolism (GO:0019538)|-|Golgi apparatus (GO:0005794)|9417100
B3GALT6|Galactosyltransferase activity (GO:0008378)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Golgi apparatus (GO:0005794);Cytoplasm (GO:0005737)|11551958
H2AFY|DNA binding (GO:0003677)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Centrosome (GO:0005813);Nucleus (GO:0005634)|12082075;11262398
CCKAR|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|8343165
RNMT|RNA methyltransferase activity (GO:0008173)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Cytoplasm (GO:0005737);Nucleus (GO:0005634)|7275966;11114884
RASAL2|GTPase activity (GO:0003924)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|-|-
RASAL1|GTPase activator activity (GO:0005096)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|-|-
TDP1|Phosphoric diester hydrolase activity (GO:0008081)|11572945;12023295|DNA repair (GO:0006281)|15494395;15811850|Nucleus (GO:0005634)|12023295;15494395;15647511
EWSR1|RNA binding (GO:0003723)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634);Cytoplasm (GO:0005737);Plasma membrane (GO:0005886);Nucleolus (GO:0005730)|9341188;11278906;15635413
CCKBR|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|7681836
NCKAP1L|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Plasma membrane (GO:0005886)|1932118
WNT10B|Receptor binding (GO:0005102)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Extracellular (GO:0005576)|8167409
METRN|Molecular function unknown (GO:0005554)|-|Cell growth and/or maintenance (GO:0008151)|-|Extracellular (GO:0005576)|15085178
WNT10A|Signal transducer activity (GO:0004871)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Extracellular (GO:0005576)|-
OCLM|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Integral to membrane (GO:0016021)|-
OCLN|Cell adhesion molecule activity (GO:0005194)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|10497311;10591624;9243183
OTUD7B|Ubiquitin-specific protease activity (GO:0004843)|-|Protein metabolism (GO:0019538)|-|Cytoplasm (GO:0005737)|12682062
OTUD7A|Cysteine-type peptidase activity (GO:0008234)|-|Protein metabolism (GO:0019538)|-|Nucleus (GO:0005634)|-
DDHD1|Phospholipase activity (GO:0004620)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|-|-
DDHD2|Phospholipase activity (GO:0004620)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Cytoplasm (GO:0005737);Microsome (GO:0005792)|11788596
SPCS1|Signal peptidase activity (GO:0009003)|8632014|Protein metabolism (GO:0019538)|8632014|Endoplasmic reticulum membrane (GO:0005789)|8632014
SPCS2|Peptidase activity (GO:0008233)|-|Protein metabolism (GO:0019538)|-|Microsome (GO:0005792)|-
SPCS3|Protease activator activity (GO:0016504)|-|Protein metabolism (GO:0019538);Protein modification (GO:0006464)|-|-|-
OTUD6B|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
FAH|Hydrolase activity (GO:0016787)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Cytoplasm (GO:0005737);Extracellular (GO:0005576)|7296877;14718574
OTUD6A|Cysteine-type peptidase activity (GO:0008234)|-|Protein metabolism (GO:0019538)|-|-|-
PIP5K3|Lipid kinase activity (GO:0001727)|9858586;12270933|Lipid metabolism (GO:0006629);Transport (GO:0006810)|12270933;14530284|Cytoplasm (GO:0005737);Plasma membrane (GO:0005886)|14530284;15542851;15277528;9858586
FAP|Serine-type peptidase activity (GO:0008236)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886);Cytoplasm (GO:0005737)|7911242;10644713
FAS|Receptor activity (GO:0004872);Binding (GO:0005488)|15159409;12874203;12131184;11961305;7510905|Cell communication (GO:0007154);Signal transduction (GO:0007165);Anti-apoptosis (GO:0006916)|9360929;7533181;15159409;12874203;12131184;7510905|Plasma membrane (GO:0005886);Cytoplasm (GO:0005737)|9360929;14694156;7510905;17159907
FAT|Cell adhesion molecule activity (GO:0005194)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Perinuclear region (GO:0048471);Plasma membrane (GO:0005886)|16979624;8586420
FAU|Ubiquitin-specific protease activity (GO:0004843)|-|Protein metabolism (GO:0019538)|-|Ribosome (GO:0005840);Nucleolus (GO:0005730)|1326960;15635413
SPRR2E|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
ARHGEF10L|Guanyl-nucleotide exchange factor activity (GO:0005085)|16112081;10997877|Cell communication (GO:0007154);Signal transduction (GO:0007165)|16112081;10997877|Cytoplasm (GO:0005737)|16112081
SPRR2B|Structural molecule activity (GO:0005198)|10588656|Cell growth and/or maintenance (GO:0008151)|10588656|-|-
SPRR2A|Structural molecule activity (GO:0005198)|-|Cell growth and/or maintenance (GO:0008151)|-|-|-
ITPK1|Catalytic activity (GO:0003824)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|-|-
SPRR2F|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
NEURL2|Ubiquitin-specific protease activity (GO:0004843)|-|Protein metabolism (GO:0019538)|-|Cytoplasm (GO:0005737)|-
GNPNAT1|Acyltransferase activity (GO:0008415)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|-|-
SPRR2G|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
ZZZ3|DNA binding (GO:0003677)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|-
POU2AF1|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634);Plasma membrane (GO:0005886);Cytoplasm (GO:0005737)|14552839;11483518
ITPKA|Lipid kinase activity (GO:0001727)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|11468283
ITPKB|Lipid kinase activity (GO:0001727)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886);Endoplasmic reticulum (GO:0005783);Cytoplasm (GO:0005737)|12747803
ITPKC|Lipid kinase activity (GO:0001727)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|11085927
FBL|Ribonucleoprotein (GO:0003733)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleolus (GO:0005730)|12490167;11790298;15635413
ARMC10|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Endoplasmic reticulum (GO:0005783)|12839973
SLCO3A1|Auxiliary transport protein activity (GO:0015457)|-|Transport (GO:0006810)|-|Plasma membrane (GO:0005886)|-
EAF1|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|11418481;17395368
EAF2|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|12446457;17395368
SPRR1B|Structural molecule activity (GO:0005198)|-|Cell growth and/or maintenance (GO:0008151)|-|Cytoplasm (GO:0005737)|9115270
SPRR1A|Structural molecule activity (GO:0005198)|-|Cell growth and/or maintenance (GO:0008151)|-|Cytoplasm (GO:0005737);Plasma membrane (GO:0005886)|9115270;11850458
PEA15|Transporter activity (GO:0005215)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737);Nucleus (GO:0005634)|11702783;10493725;10926929
PIK4CB|Lipid kinase activity (GO:0001727)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737);Mitochondrion (GO:0005739);Endoplasmic reticulum (GO:0005783);Golgi apparatus (GO:0005794);Plasma membrane (GO:0005886)|9584208;9405935;12324459;11277933;9148941
PIK4CA|Lipid kinase activity (GO:0001727)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Golgi apparatus (GO:0005794);Cytoplasm (GO:0005737)|8662589;1318025
TAX1BP3|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Cytoplasm (GO:0005737);Nucleus (GO:0005634)|10940294;12874278
TAX1BP1|Transcription factor activity (GO:0003700)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Nucleus (GO:0005634)|11893730
MMP1|Metallopeptidase activity (GO:0008237)|-|Protein metabolism (GO:0019538)|-|Extracellular (GO:0005576)|7641497
MMP2|Metallopeptidase activity (GO:0008237)|-|Protein metabolism (GO:0019538)|-|Extracellular (GO:0005576);Plasma membrane (GO:0005886)|12676736;9640131;9853262;11382769;9119036
MMP3|Metallopeptidase activity (GO:0008237)|-|Protein metabolism (GO:0019538)|-|Extracellular (GO:0005576)|8957070
MAN1C1|Hydrolase activity (GO:0016787)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Golgi apparatus (GO:0005794)|10915796
MMP7|Metallopeptidase activity (GO:0008237)|-|Protein metabolism (GO:0019538)|-|Extracellular (GO:0005576)|2253219
MMP8|Metallopeptidase activity (GO:0008237)|-|Protein metabolism (GO:0019538)|-|Extracellular (GO:0005576)|10949161
MMP9|Metallopeptidase activity (GO:0008237)|-|Protein metabolism (GO:0019538)|-|Extracellular (GO:0005576);Plasma membrane (GO:0005886)|10988146;11978564
OR2A1|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
OR2A2|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
FER|Protein-tyrosine kinase activity (GO:0004713)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737);Nucleus (GO:0005634)|1990274
FES|Protein-tyrosine kinase activity (GO:0004713)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Nucleus (GO:0005634);Cytoplasm (GO:0005737);Plasma membrane (GO:0005886);Golgi apparatus (GO:0005794);Extracellular (GO:0005576)|7700650;7523858;11339827;12543931
OR2A5|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
OR2A7|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
FEV|Transcription factor activity (GO:0003700)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|-
RAXL1|Transcription regulator activity (GO:0030528)|15028672|Regulation of gene expression, epigenetic (GO:0040029)|15028672|-|-
MAN1B1|Hydrolase activity (GO:0016787)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Endoplasmic reticulum (GO:0005783)|10409699
OR2A4|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|-
PXT1|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Peroxisome (GO:0005777)|-
SYNCRIP|RNA binding (GO:0003723)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Cytoplasm (GO:0005737);Nucleus (GO:0005634);Endoplasmic reticulum (GO:0005783);Ribosome (GO:0005840);Nucleolus (GO:0005730)|11051545;10734137;11994298;15635413
OCRL|Acid phosphatase activity (GO:0003993);Catalytic activity (GO:0003824)|9430698|Vesicle-mediated transport (GO:0016192);Signal transduction (GO:0007165);Cell-cell adhesion (GO:0016337);Metabolism (GO:0008152);Energy pathways (GO:0006091)|15917292;10639484;9838104;12428211|Golgi apparatus (GO:0005794);Lysosome (GO:0005764);Early endosome (GO:0005769);Clathrin-coated vesicle (GO:0030136);Golgi membrane (GO:0000139);Cytoplasm (GO:0005737)|9593760;15917292;10639484;9838104
NAPSA|Aspartic-type signal peptidase activity (GO:0009049)|-|Protein metabolism (GO:0019538)|-|Cytoplasm (GO:0005737);Integral to membrane (GO:0016021)|10580106
OR5BU1|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
OR2B2|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
OR2B3|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
ERICH1|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
OR2B6|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|-
BZRAP1|Molecular function unknown (GO:0005554)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737);Mitochondrion (GO:0005739)|9915832
MAN1A2|Hydrolase activity (GO:0016787)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Golgi apparatus (GO:0005794)|9592125
MAN1A1|Hydrolase activity (GO:0016787)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Endoplasmic reticulum (GO:0005783);Golgi apparatus (GO:0005794)|10409699;8223597;7588811
FGA|Protein binding (GO:0005515)|-|Protein metabolism (GO:0019538)|-|Extracellular (GO:0005576)|12430881;6165239;10467729;6575389;10913112;12119191;11739173
FGB|Protein binding (GO:0005515)|-|Protein metabolism (GO:0019538)|-|Extracellular (GO:0005576);Endoplasmic reticulum (GO:0005783)|8910396;9224210;9028318;6165239;10766195;11460528;9787167;2322576;16199891;16188874;11460506
FGG|Protein binding (GO:0005515)|-|Protein metabolism (GO:0019538)|-|Extracellular (GO:0005576);Golgi apparatus (GO:0005794)|6281794;8404605;11986220;2665853;8470043;2990550;1429662
RHOT1|GTPase activity (GO:0003924)|12482879|Apoptosis (GO:0006915)|12482879|Mitochondrion (GO:0005739)|12482879
OR2C1|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|-
RHOT2|GTPase activity (GO:0003924)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Mitochondrion (GO:0005739)|12482879
OR2C3|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
FGR|Protein-tyrosine kinase activity (GO:0004713)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|3023853
C20orf3|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C20orf4|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
C20orf7|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
OR2D2|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
OR2D3|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
PROKR2|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|-
PROKR1|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|10760605
ITPR1|Intracellular ligand-gated ion channel activity (GO:0005217)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Endoplasmic reticulum (GO:0005783);Plasma membrane (GO:0005886);Cytoplasm (GO:0005737);Golgi apparatus (GO:0005794)|12717445;11524429;10209024;10874040;7852357
ITPR2|Transporter activity (GO:0005215)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|10828023;10874040
ITPR3|Intracellular ligand-gated ion channel activity (GO:0005217)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Endoplasmic reticulum (GO:0005783);Plasma membrane (GO:0005886)|12606721;8288584;10874040;10828023
OSGEP|Peptidase activity (GO:0008233)|-|Protein metabolism (GO:0019538)|-|-|-
MIF4GD|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
HM13|Peptidase activity (GO:0008233)|12077416|Immune response (GO:0006955)|12077416|Integral to membrane (GO:0016021)|-
RBMY1A1|RNA binding (GO:0003723)|-|Regulation of gene expression, epigenetic (GO:0040029);Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|9547301|Nucleus (GO:0005634);Cytoplasm (GO:0005737)|10749975;9547301
OR2F1|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
OR2F2|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
CKLF|Chemokine activity (GO:0008009)|11415443|Inflammatory response (GO:0006954);Signal transduction (GO:0007165)|11415443|Integral to membrane (GO:0016021)|11415443
HNRPC|RNA binding (GO:0003723)|2557628|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|2557628|Nucleus (GO:0005634);Cytoplasm (GO:0005737);Nucleolus (GO:0005730)|9516488;15034300;10629032;15494373;11790298;15635413
HNRPD|MRNA binding (GO:0003729)|8246982|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|8246982;14711832|Nucleus (GO:0005634);Cytoplasm (GO:0005737)|9615222;10900464;8246982
HNRPF|Ribonucleoprotein (GO:0003733)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634);Cytoplasm (GO:0005737);Nucleolus (GO:0005730)|10456323;14980514;7499401;15635413
HNRPK|Ribonucleoprotein (GO:0003733)|9651361|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|9651361|Nucleolus (GO:0005730);Cytoplasm (GO:0005737);Mitochondrion (GO:0005739);Nucleus (GO:0005634)|11790298;15635413;15170860;12951515;11231586;15860232;11741984;9553145;8107114;9651361
HNRPL|RNA binding (GO:0003723)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleolus (GO:0005730);Nucleus (GO:0005634);Cytoplasm (GO:0005737)|15635413;2687284;9880507
HNRPM|Ribonucleoprotein (GO:0003733)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Plasma membrane (GO:0005886);Nucleolus (GO:0005730);Nucleus (GO:0005634)|8088785;11790298;15635413;8692693
OR2G2|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|-
OR2G3|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
HNRPR|RNA binding (GO:0003723)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634);Nucleolus (GO:0005730)|9421497;15635413
OR2G6|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
HNRPU|RNA binding (GO:0003723)|1628625|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|1628625|Nucleus (GO:0005634)|11813259;7509195
FAAH2|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
ATAD2|ATPase activity (GO:0016887)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|-|-
ATAD4|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
TMEFF2|Molecular function unknown (GO:0005554)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|11668495
TMEFF1|Receptor activity (GO:0004872)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|12743596
ATAD5|DNA repair protein (GO:0003685)|15983387|DNA repair (GO:0006281)|15983387|-|-
ATAD1|ATPase activity (GO:0016887)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|-|-
